URL,Fiyat,Oda Sayısı,Brüt m2,Kat Sayısı,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,İlan No
https://www.hepsiemlak.com/antalya-muratpasa-varlik-satilik/daire/117133-771,6.850.000 TL,2 + 1,90 m2,7 Katlı,5. Kat,Sıfır Bina,Kombi,117133-771
https://www.hepsiemlak.com/antalya-kepez-kepez-satilik/daire/120585-731,6.990.000 TL,3 + 1,161 m2,11 Katlı,2. Kat,1 Yaşında,Merkezi (Pay Öl...,120585-731
https://www.hepsiemlak.com/antalya-kepez-kutukcu-satilik/daire/90618-5574,3.400.000 TL,2 + 1,65 m2,3 Katlı,2. Kat,Sıfır Bina,Klima,90618-5574
https://www.hepsiemlak.com/antalya-konyaalti-sarisu-satilik/daire/85341-128,6.200.000 TL,2 + 1,110 m2,6 Katlı,Giriş Katı,1 Yaşında,Yerden Isıtma,85341-128
https://www.hepsiemlak.com/antalya-muratpasa-yenigun-satilik/daire/0-45363029,3.750.000 TL,2 + 1,100 m2,4 Katlı,Giriş Katı,14 Yaşında,Klima,0-45363029
https://www.hepsiemlak.com/antalya-muratpasa-guzeloba-satilik/daire/101012-2796,10.250.000 TL,3 + 1,180 m2,2 Katlı,Ara Kat,4 Yaşında,Klima,101012-2796
https://www.hepsiemlak.com/antalya-muratpasa-guzeloba-satilik/daire/65665-1444,3.550.000 TL,1 + 1,55 m2,2 Katlı,1. Kat,11 Yaşında,Klima,65665-1444
https://www.hepsiemlak.com/antalya-kepez-aydogmus-satilik/daire/129740-2522,2.199.999 TL,1 + 1,70 m2,2 Katlı,Ara Kat,Sıfır Bina,Klima,129740-2522
https://www.hepsiemlak.com/antalya-konyaalti-sarisu-satilik/daire/45399-3370,7.000.000 TL,2 + 1,100 m2,4 Katlı,1. Kat,Sıfır Bina,Klima,45399-3370
https://www.hepsiemlak.com/antalya-kepez-habibler-satilik/daire/132827-222,3.050.000 TL,2 + 1,95 m2,3 Katlı,Yüksek Giriş,Sıfır Bina,Klima,132827-222
https://www.hepsiemlak.com/antalya-konyaalti-hurma-satilik/daire/136667-114,5.250.000 TL,2 + 1,90 m2,4 Katlı,4. Kat,11 Yaşında,Klima,136667-114
https://www.hepsiemlak.com/antalya-kepez-goksu-satilik/daire/33100-8999,5.300.000 TL,2 + 1,75 m2,6 Katlı,1. Kat,Sıfır Bina,Kombi,33100-8999
https://www.hepsiemlak.com/antalya-kepez-kultur-satilik/daire/0-45453206,3.200.000 TL,2 + 1,85 m2,3 Katlı,Yüksek Giriş,13 Yaşında,Klima,0-45453206
https://www.hepsiemlak.com/antalya-muratpasa-kizilarik-satilik/daire/62128-2430,4.800.000 TL,2 + 1,90 m2,4 Katlı,1. Kat,1 Yaşında,Kombi,62128-2430
https://www.hepsiemlak.com/antalya-muratpasa-etiler-satilik/daire/35816-179,4.300.000 TL,2 + 1,115 m2,3 Katlı,3. Kat,11 Yaşında,Klima,35816-179
https://www.hepsiemlak.com/antalya-konyaalti-hurma-satilik/daire/0-45314741,5.250.000 TL,2 + 1,105 m2,4 Katlı,Yüksek Giriş,15 Yaşında,Klima,0-45314741
https://www.hepsiemlak.com/antalya-muratpasa-kizilarik-satilik/daire/161806-10,5.500.000 TL,3 + 1,135 m2,4 Katlı,1. Kat,12 Yaşında,Kombi,161806-10
https://www.hepsiemlak.com/antalya-kepez-altinova-duden-satilik/daire/0-45289008,3.590.000 TL,2 + 1,70 m2,4 Katlı,1. Kat,4 Yaşında,Klima,0-45289008
https://www.hepsiemlak.com/antalya-muratpasa-yuksekalan-satilik/daire/155659-64,2.990.000 TL,1 + 1,55 m2,5 Katlı,4. Kat,8 Yaşında,Klima,155659-64
https://www.hepsiemlak.com/antalya-kepez-habibler-satilik/daire/162395-4,3.600.000 TL,2 + 1,100 m2,2 Katlı,2. Kat,Sıfır Bina,Kombi,162395-4
https://www.hepsiemlak.com/antalya-konyaalti-arapsuyu-satilik/daire/0-45266742,15.250.000 TL,3 + 1,160 m2,7 Katlı,5. Kat,20 Yaşında,Güneş Enerjisi,0-45266742
https://www.hepsiemlak.com/antalya-kepez-aktoprak-satilik/daire/161664-11,3.750.000 TL,2 + 1,110 m2,5 Katlı,3. Kat,Sıfır Bina,Klima,161664-11
https://www.hepsiemlak.com/antalya-kepez-cankaya-satilik/daire/161829-17,11.250.000 TL,3 + 1,170 m2,7 Katlı,2. Kat,1 Yaşında,Yerden Isıtma,161829-17
https://www.hepsiemlak.com/antalya-konyaalti-hurma-satilik/daire/152973-57,7.200.000 TL,2 + 1,100 m2,6 Katlı,Ara Kat,15 Yaşında,Kombi,152973-57
https://www.hepsiemlak.com/antalya-muratpasa-gebizli-satilik/daire/0-45248264,4.550.000 TL,2 + 1,115 m2,5 Katlı,Ara Kat,10 Yaşında,Klima,0-45248264
https://www.hepsiemlak.com/antalya-konyaalti-hurma-satilik/daire/0-45216978,5.100.000 TL,3 + 1,150 m2,5 Katlı,Yüksek Giriş,11 Yaşında,Kombi,0-45216978
https://www.hepsiemlak.com/antalya-konyaalti-hurma-satilik/daire/139083-122,6.800.000 TL,2 + 1,110 m2,4 Katlı,1. Kat,6 Yaşında,Kombi,139083-122
https://www.hepsiemlak.com/antalya-kepez-selale-satilik/daire/141404-854,3.550.000 TL,2 + 1,110 m2,4 Katlı,1. Kat,Sıfır Bina,Klima,141404-854
https://www.hepsiemlak.com/antalya-muratpasa-etiler-satilik/daire/160770-1,5.800.000 TL,2 + 1,110 m2,4 Katlı,En Üst Kat,3 Yaşında,Kombi,160770-1
https://www.hepsiemlak.com/antalya-konyaalti-hurma-satilik/daire/158959-20,20.000.000 TL,3 + 1,150 m2,4 Katlı,Villa Katı,1 Yaşında,Kombi,158959-20
https://www.hepsiemlak.com/antalya-muratpasa-genclik-satilik/daire/5498-1364,17.000.000 TL,3 + 0,160 m2,7 Katlı,2. Kat,35 Yaşında,Klima,5498-1364
https://www.hepsiemlak.com/antalya-muratpasa-meydankavagi-satilik/daire/144621-126,10.200.000 TL,3 + 1,142 m2,7 Katlı,2. Kat,Sıfır Bina,Kombi,144621-126
https://www.hepsiemlak.com/antalya-muratpasa-ermenek-satilik/daire/160651-2,4.750.000 TL,2 + 1,95 m2,4 Katlı,Ara Kat,Sıfır Bina,Klima,160651-2
https://www.hepsiemlak.com/antalya-muratpasa-ermenek-satilik/daire/138204-286,8.000.000 TL,2 + 1,100 m2,2 Katlı,2. Kat,Sıfır Bina,Kombi,138204-286
https://www.hepsiemlak.com/antalya-muratpasa-guzeloba-satilik/daire/10485-2684,11.250.000 TL,4 + 1,190 m2,2 Katlı,2. Kat,11 Yaşında,Kombi,10485-2684
https://www.hepsiemlak.com/antalya-muratpasa-guzelbag-satilik/daire/119436-131,6.250.000 TL,2 + 1,90 m2,2 Katlı,1. Kat,11 Yaşında,Klima,119436-131
